================================================================================
                      PLUS33 ERP DEMO CREDENTIALS
================================================================================

ADMINISTRATIVE ACCOUNTS (Password for all: pass123):
----------------------------------------------------
1. Ultimate Administrator
   Username: ultimate123@plus33.com
   Role:     ULTIMATE_ADMIN
   Scope:    Global access to all companies, regions, and stores.

2. National Administrators (Manage entire countries):
   - France National Admin:
     Username: regional_eu@plus33.com
     Role:     NATIONAL_ADMIN
     Country:  France (FR_COUNTRY)
   - India National Admin:
     Username: regional_ind@plus33.com
     Role:     NATIONAL_ADMIN
     Country:  India (IN_COUNTRY)
   - UAE National Admin:
     Username: regional_dxb@plus33.com
     Role:     NATIONAL_ADMIN
     Country:  UAE (AE_COUNTRY)

3. Regional Administrators (Manage specific sub-regions):
   - Dubai Region Regional Admin:
     Username: regional_dubai@plus33.com
     Role:     REGIONAL_ADMIN
     Region:   Dubai Region (UAE_DUBAI)
   - North France Regional Admin:
     Username: regional_north_fr@plus33.com
     Role:     REGIONAL_ADMIN
     Region:   North France (FR_NORTH)
   - South India Regional Admin:
     Username: regional_south_ind@plus33.com
     Role:     REGIONAL_ADMIN
     Region:   South India (IN_SOUTH)

SEEDED REGIONS, SUB-REGIONS & STORES:
-------------------------------------
1. France (FR_COUNTRY)
    - Sub-Region: Auvergne-Rhone-Alpes (FR_REG_3) -> ST_FR_REG_3_01 (Auvergne-Rhone-Alpes Store 01)
    - Sub-Region: Ile-de-France (FR_REG_1) -> ST_FR_REG_1_01 (Ile-de-France Store 01)
    - Sub-Region: North France (FR_NORTH) -> ST_EU_01 (Paris Flagship Store)
    - Sub-Region: Provence-Alpes-Cote d'Azur (FR_REG_2) -> ST_FR_REG_2_01 (Provence-Alpes-Cote d'Azur Store 01)
2. India (IN_COUNTRY)
    - Sub-Region: East India (IN_REG_3) -> ST_IN_REG_3_01 (East India Store 01)
    - Sub-Region: North India (IN_REG_2) -> ST_IN_REG_2_01 (North India Store 01)
    - Sub-Region: South India (IN_SOUTH) -> ST_IND_01 (Mumbai Hub Store)
    - Sub-Region: West India (IN_REG_1) -> ST_IN_REG_1_01 (West India Store 01)
3. UAE (AE_COUNTRY)
    - Sub-Region: Abu Dhabi Region (AE_REG_1) -> ST_AE_REG_1_01 (Abu Dhabi Region Store 01)
    - Sub-Region: Ajman Region (AE_REG_3) -> ST_AE_REG_3_01 (Ajman Region Store 01)
    - Sub-Region: Dubai Region (UAE_DUBAI) -> ST_DXB_01 (Dubai Mall Store)
    - Sub-Region: Sharjah Region (AE_REG_2) -> ST_AE_REG_2_01 (Sharjah Region Store 01)

================================================================================
              LIST OF ALL STORE EMPLOYEES & STORE ADMINS
================================================================================
Password for all accounts below: pass123
Format: [Email] | [Role] | [Designation] | [Store Code] | [Store Name] | [Region/Country]
emp3_st_ae_reg_1_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_1_01 | Abu Dhabi Region Store 01 | Abu Dhabi Region (UAE)
emp4_st_ae_reg_1_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_1_01 | Abu Dhabi Region Store 01 | Abu Dhabi Region (UAE)
emp5_st_ae_reg_1_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_1_01 | Abu Dhabi Region Store 01 | Abu Dhabi Region (UAE)
emp6_st_ae_reg_1_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_1_01 | Abu Dhabi Region Store 01 | Abu Dhabi Region (UAE)
emp7_st_ae_reg_1_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_1_01 | Abu Dhabi Region Store 01 | Abu Dhabi Region (UAE)
emp8_st_ae_reg_1_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_1_01 | Abu Dhabi Region Store 01 | Abu Dhabi Region (UAE)
emp9_st_ae_reg_1_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_1_01 | Abu Dhabi Region Store 01 | Abu Dhabi Region (UAE)
sup1_st_ae_reg_1_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_AE_REG_1_01 | Abu Dhabi Region Store 01 | Abu Dhabi Region (UAE)
sup2_st_ae_reg_1_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_AE_REG_1_01 | Abu Dhabi Region Store 01 | Abu Dhabi Region (UAE)
sup3_st_ae_reg_1_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_AE_REG_1_01 | Abu Dhabi Region Store 01 | Abu Dhabi Region (UAE)
admin_st_ae_reg_1_01@plus33.com | STORE_ADMIN | Store Manager | ST_AE_REG_1_01 | Abu Dhabi Region Store 01 | Abu Dhabi Region (UAE)
emp10_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp11_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp12_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp13_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp14_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp15_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp16_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp17_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp18_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp19_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp1_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp20_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp21_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp22_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp23_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp24_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp25_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp26_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp2_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp3_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp4_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp5_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp6_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp7_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp8_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp9_st_ae_reg_2_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
sup1_st_ae_reg_2_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
sup2_st_ae_reg_2_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
sup3_st_ae_reg_2_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
admin_st_ae_reg_2_01@plus33.com | STORE_ADMIN | Store Manager | ST_AE_REG_2_01 | Sharjah Region Store 01 | Sharjah Region (UAE)
emp10_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp11_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp12_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp13_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp14_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp15_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp16_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp17_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp18_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp19_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp1_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp20_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp21_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp22_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp23_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp24_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp25_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp26_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp2_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp3_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp4_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp5_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp6_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp7_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp8_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp9_st_ae_reg_3_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
sup1_st_ae_reg_3_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
sup2_st_ae_reg_3_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
sup3_st_ae_reg_3_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
admin_st_ae_reg_3_01@plus33.com | STORE_ADMIN | Store Manager | ST_AE_REG_3_01 | Ajman Region Store 01 | Ajman Region (UAE)
emp10_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp11_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp12_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp13_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp14_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp15_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp16_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp17_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp18_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp19_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp1_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp20_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp21_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp22_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp23_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp24_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp25_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp26_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp2_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp3_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp4_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp5_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp6_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp7_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp8_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp9_st_dxb_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
sup1_st_dxb_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
sup2_st_dxb_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
sup3_st_dxb_01@plus33.com | SHIFT_SUPERVISOR | Shift Supervisor | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
admin_st_dxb_01@plus33.com | STORE_ADMIN | Store Manager | ST_DXB_01 | Dubai Mall Store | Dubai Region (UAE)
emp10_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp11_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp12_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp13_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp14_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp15_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp16_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp17_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp18_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp19_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp1_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp20_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp21_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp22_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp23_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp24_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp25_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp26_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp2_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp3_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
emp4_st_eu_01@plus33.com | SENIOR_EMPLOYEE | Senior Barista | ST_EU_01 | Paris Flagship Store | North France (France)
